Furniture Name,Furniture Type,length,breadth,height,price,materials,color,link
California King Bed,Bed,89,73,80,1599,steel,taupe,https://www.roomandboard.com/catalog/bedroom/beds/architecture-bed-in-colors
King Bed,Bed,85,78,80,1599,steel,slate,https://www.roomandboard.com/catalog/bedroom/beds/architecture-bed-in-colors
Queen Bed,Bed,85,61,80,1399,steel,white,https://www.roomandboard.com/catalog/bedroom/beds/architecture-bed-in-colors
Full Bed,Bed,80,55,80,1299,steel,silver,https://www.roomandboard.com/catalog/bedroom/beds/architecture-bed-in-colors
Twin Bed,Bed,80,40,76,1199,steel,onyx gloss,https://www.roomandboard.com/catalog/bedroom/beds/architecture-bed-in-colors
Gloucester Tufted Upholstered Low Profile Twin Bed,Bed,80.58,45.9,76,153.99,"wood, polyester,foam",gray,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Gloucester Tufted Upholstered Low Profile Full Bed,Bed,80.58,60.68,80,162.99,"wood, polyester,foam",gray,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Gloucester Tufted Upholstered Low Profile Queen Bed,Bed,85.7,66.98,80,169.99,"wood, polyester,foam",blue,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Gloucester Tufted Upholstered Low Profile King Bed,Bed,85.7,82.74,80,202.99,"wood, polyester,foam",beige,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Finnigan Upholstered Standard Bed Twin,Bed,81.1,43.14,76,122.99,"wood, polyester,foam",gray,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Finnigan Upholstered Standard Bed Full,Bed,80.58,60.68,80,162.99,"wood, polyester,foam",blue,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Finnigan Upholstered Standard Bed Queen,Bed,85.7,66.98,80,169.99,"wood, polyester,foam",beige,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Finnigan Upholstered Standard Bed King,Bed,85.7,82.74,80,202.99,"wood, polyester,foam",gray,https://www.wayfair.com/furniture/pdp/greyleigh-gloucester-tufted-upholstered-low-profile-standard-bed-w001553030.html?piid=239528200%2C239528311
Perrine Upholstered Platform Bed Twin,Bed,45.5,45.5,81,374.99,"foam,metal,velvet, wood",gray,https://www.wayfair.com/furniture/pdp/mercer41-perrine-upholstered-platform-bed-w002081115.html?piid=1172307793%2C1172307803&categoryid=46122&placement=1&slot=2&sponsoredid=2f5b8250248ef362924d28cf54da732c5c8030141e9cdc402ccf47f9ae16d219&_txid=I%2FcmXF6Vo%2Fedkwwp3jWAAg%3D%3D&isB2b=0&auctionId=e651e43a-8daa-4c0e-be7d-84ff414ffd88
Perrine Upholstered Platform Bed Full,Bed,60,45.5,81,469.99,"foam,metal,velvet, wood",beige,https://www.wayfair.com/furniture/pdp/mercer41-perrine-upholstered-platform-bed-w002081115.html?piid=1172307793%2C1172307803&categoryid=46122&placement=1&slot=2&sponsoredid=2f5b8250248ef362924d28cf54da732c5c8030141e9cdc402ccf47f9ae16d219&_txid=I%2FcmXF6Vo%2Fedkwwp3jWAAg%3D%3D&isB2b=0&auctionId=e651e43a-8daa-4c0e-be7d-84ff414ffd88
